Time [s],SCLK,SDI,GPIO2,GPIO3
2.128601120,0,0,0,1
2.130644500,0,0,1,1
2.132689380,0,0,0,1
2.134732760,0,0,1,1
2.136777660,0,0,0,1
2.138821120,0,0,1,1
2.140866180,0,0,0,1
2.142909980,0,0,1,1
2.144954680,0,0,0,1
2.146998180,0,0,1,1
2.149043060,0,0,0,1
2.151086440,0,0,1,1
2.153131380,0,0,0,1
2.155174800,0,0,1,1
2.157219760,0,0,0,1
2.159263280,0,0,1,1
2.161308360,0,0,0,1
2.163352080,0,0,1,1
2.165397100,0,0,0,1
2.167440640,0,0,1,1
2.169484680,0,0,0,1
2.171528780,0,0,1,1
2.173573820,0,0,0,1
2.175617200,0,0,1,1
2.177662180,0,0,0,1
2.179705600,0,0,1,1
2.181750460,0,0,0,1
2.183793800,0,0,1,1
2.185838540,0,0,0,1
2.187882100,0,0,1,1
2.189926900,0,0,0,1
2.191970140,0,0,1,1
2.194015040,0,0,0,1
2.196058440,0,0,1,1
2.198103360,0,0,0,1
2.200146760,0,0,1,1
2.202191580,0,0,0,1
2.204234940,0,0,1,1
2.206279900,0,0,0,1
2.208323400,0,0,1,1
2.210368360,0,0,0,1
2.212411700,0,0,1,1
2.214456420,0,0,0,1
2.216499740,0,0,1,1
2.218544720,0,0,0,1
2.220588200,0,0,1,1
2.222633160,0,0,0,1
2.224676700,0,0,1,1
2.226721560,0,0,0,1
2.228764880,0,0,1,1
2.230809760,0,0,0,1
2.232853120,0,0,1,1
2.234898100,0,0,0,1
2.236941520,0,0,1,1
2.238986480,0,0,0,1
2.241029820,0,0,1,1
2.243074800,0,0,0,1
2.245118180,0,0,1,1
2.247163000,0,0,0,1
